Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
french-flatware,,,,,,,,Black & Gold,,24 Pcs (Serves 6 Persons) - Save $100 USD,,,38113257-china-lf3blackgold6sets,0.0,shopify,deny,oberlo,109.00,219.00,true,false,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-29.jpg?v=1617304400,3,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-28.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,Black & Gold,,16 Pcs (Serves 4 Persons) - Save $60 USD,,,38113257-china-lf3blackgold4sets,0.0,shopify,deny,oberlo,89.00,149.00,true,false,"",https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-28.jpg?v=1617304400,4,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-28.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,Black & Gold,,8 Pcs (Serves 2 Persons) - Save $25 USD,,,38113257-china-lf3blackgold2sets,0.0,shopify,deny,oberlo,49.00,74.00,true,false,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-30.jpg?v=1617304400,5,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-28.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,Black & Gold,,4 Pcs (Serves 1 Person),,,38113257-china-lf3blackgold1set,0.0,shopify,deny,oberlo,29.00,39.00,true,false,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-31.jpg?v=1617304400,6,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-28.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,White & Gold,,20 Pcs (Serves 4 Persons) - Save $110 USD,,,French-20Pcs-WhiteGold,0.0,shopify,deny,oberlo,109.00,219.00,true,false,"",https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-34.jpg?v=1617304400,7,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-8.jpg?v=1617368966,kg,,,
french-flatware,,,,,,,,White & Gold,,30 Pcs (Serves 6 Persons) - Save $160 USD,,,French-30Pcs-WhiteGold,0.0,shopify,deny,oberlo,159.00,319.00,true,false,"",https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-36.jpg?v=1617304400,8,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-8.jpg?v=1617368966,kg,,,
french-flatware,,,,,,,,White & Gold,,24 Pcs (Serves 6 Persons) - Save $100 USD,,,38113257-china-lf3whitegold6sets,0.0,shopify,deny,oberlo,109.00,219.00,true,false,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-37.jpg?v=1617304400,9,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-30.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,White & Gold,,16 Pcs (Serves 4 Persons) - Save $60 USD,,,38113257-china-lf3whitegold4sets,0.0,shopify,deny,oberlo,89.00,149.00,true,false,"",https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-39.jpg?v=1617304400,10,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-30.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,White & Gold,,8 Pcs (Serves 2 Persons) - Save $25 USD,,,38113257-china-lf3whitegold2sets,0.0,shopify,deny,oberlo,49.00,74.00,true,false,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-5_443a2059-ea8c-44da-a618-d3f96a9a170c.jpg?v=1617368964,11,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-30.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,White & Gold,,4 Pcs (Serves 1 Person),,,38113257-china-lf3whitegold1set,0.0,shopify,deny,oberlo,29.00,39.00,true,false,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-7.jpg?v=1617368965,12,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-30.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,Black & Silver,,20 Pcs (Serves 4 Persons) - Save $110 USD,,,French-20Pcs-BlackSilver,0.0,shopify,deny,oberlo,109.00,219.00,true,false,"",https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-8.jpg?v=1617368966,13,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-12.jpg?v=1617368969,kg,,,
french-flatware,,,,,,,,Black & Silver,,30 Pcs (Serves 6 Persons) - Save $160 USD,,,French-30Pcs-BlackSilver,0.0,shopify,deny,oberlo,159.00,319.00,true,false,"",https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-9.jpg?v=1617368967,14,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-12.jpg?v=1617368969,kg,,,
french-flatware,,,,,,,,Black & Silver,,24 Pcs (Serves 6 Persons) - Save $100 USD,,,38113257-china-lf3blacksilver6sets,0.0,shopify,deny,oberlo,109.00,219.00,true,false,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-6.jpg?v=1617368968,15,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-36.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,Black & Silver,,16 Pcs (Serves 4 Persons) - Save $60 USD,,,38113257-china-lf3blacksilver4sets,0.0,shopify,deny,oberlo,89.00,149.00,true,false,"",https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-12.jpg?v=1617368969,16,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-36.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,Black & Silver,,8 Pcs (Serves 2 Persons) - Save $25 USD,,,38113257-china-lf3blacksilver2sets,0.0,shopify,deny,oberlo,49.00,74.00,true,false,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-11.jpg?v=1617368970,17,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-36.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,Black & Silver,,4 Pcs (Serves 1 Person),,,38113257-china-lf3blacksilver1set,0.0,shopify,deny,oberlo,29.00,39.00,true,false,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-10.jpg?v=1617368971,18,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-36.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,🔥Sale - Pink & Gold,,20 Pcs (Serves 4 Persons) - Save $110 USD,,,French-20Pcs-PinkGold,0.0,shopify,deny,oberlo,99.00,219.00,true,false,"",https://cdn.shopify.com/s/files/1/0365/1705/2461/products/4.9inches12.5cm_1.png?v=1617304416,19,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-9.jpg?v=1617368967,kg,,,
french-flatware,,,,,,,,🔥Sale - Pink & Gold,,30 Pcs (Serves 6 Persons) - Save $160 USD,,,French-30Pcs-PinkGold,0.0,shopify,deny,oberlo,149.00,319.00,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-9.jpg?v=1617368967,kg,,,
french-flatware,,,,,,,,🔥Sale - Pink & Gold,,24 Pcs (Serves 6 Persons) - Save $100 USD,,,38113257-china-lf3pinkgold6sets,0.0,shopify,deny,oberlo,69.00,199.00,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-31.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,🔥Sale - Pink & Gold,,16 Pcs (Serves 4 Persons) - Save $60 USD,,,38113257-china-lf3pinkgold4sets,0.0,shopify,deny,oberlo,49.00,149.00,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-31.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,🔥Sale - Pink & Gold,,8 Pcs (Serves 2 Persons) - Save $25 USD,,,38113257-china-lf3pinkgold2sets,0.0,shopify,deny,oberlo,26.00,74.00,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-31.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,🔥Sale - Pink & Gold,,4 Pcs (Serves 1 Person),,,38113257-china-lf3pinkgold1set,0.0,shopify,deny,oberlo,14.00,39.00,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-31.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,Dark Green & Gold,,20 Pcs (Serves 4 Persons) - Save $110 USD,,,French-20Pcs-GreenGold,0.0,shopify,deny,oberlo,109.00,219.00,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-6.jpg?v=1617368968,kg,,,
french-flatware,,,,,,,,Dark Green & Gold,,30 Pcs (Serves 6 Persons) - Save $160 USD,,,French-30Pcs-GreenGold,0.0,shopify,deny,oberlo,159.00,319.00,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-6.jpg?v=1617368968,kg,,,
french-flatware,,,,,,,,Dark Green & Gold,,24 Pcs (Serves 6 Persons) - Save $100 USD,,,38113257-china-lf3greengold6sets,0.0,shopify,deny,oberlo,109.00,219.00,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-34.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,Dark Green & Gold,,16 Pcs (Serves 4 Persons) - Save $60 USD,,,38113257-china-lf3greengold4sets,0.0,shopify,deny,oberlo,89.00,149.00,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-34.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,Dark Green & Gold,,8 Pcs (Serves 2 Persons) - Save $25 USD,,,38113257-china-lf3greengold2sets,0.0,shopify,deny,oberlo,49.00,74.00,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-34.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,Dark Green & Gold,,4 Pcs (Serves 1 Person),,,38113257-china-lf3greengold1set,0.0,shopify,deny,oberlo,29.00,39.00,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-34.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,Pink & Silver,,20 Pcs (Serves 4 Persons) - Save $110 USD,,,French-20Pcs-PinkSilver,0.0,shopify,deny,oberlo,109.00,219.00,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-10.jpg?v=1617368971,kg,,,
french-flatware,,,,,,,,Pink & Silver,,30 Pcs (Serves 6 Persons) - Save $160 USD,,,French-30Pcs-PinkSilver,0.0,shopify,deny,oberlo,159.00,319.00,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-10.jpg?v=1617368971,kg,,,
french-flatware,,,,,,,,Pink & Silver,,24 Pcs (Serves 6 Persons) - Save $100 USD,,,38113257-china-pinksilver6sets,0.0,shopify,deny,oberlo,109.00,219.00,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-37.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,Pink & Silver,,16 Pcs (Serves 4 Persons) - Save $60 USD,,,38113257-china-pinksilver4sets,0.0,shopify,deny,oberlo,89.00,149.00,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-37.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,Pink & Silver,,8 Pcs (Serves 2 Persons) - Save $25 USD,,,38113257-china-pinksilver2sets,0.0,shopify,deny,oberlo,49.00,74.00,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-37.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,Pink & Silver,,4 Pcs (Serves 1 Person),,,38113257-china-pinksilver1set,0.0,shopify,deny,oberlo,29.00,39.00,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-37.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,White & Silver,,20 Pcs (Serves 4 Persons) - Save $110 USD,,,French-20Pcs-WhiteSilver,0.0,shopify,deny,oberlo,109.00,219.00,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-11.jpg?v=1617368970,kg,,,
french-flatware,,,,,,,,White & Silver,,30 Pcs (Serves 6 Persons) - Save $160 USD,,,French-30Pcs-WhiteSilver,0.0,shopify,deny,oberlo,159.00,319.00,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-11.jpg?v=1617368970,kg,,,
french-flatware,,,,,,,,White & Silver,,24 Pcs (Serves 6 Persons) - Save $100 USD,,,38113257-china-whitesilver6sets,0.0,shopify,deny,oberlo,109.00,219.00,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-39.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,White & Silver,,16 Pcs (Serves 4 Persons) - Save $60 USD,,,38113257-china-whitesilver4sets,0.0,shopify,deny,oberlo,89.00,149.00,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-39.jpg?v=1617304400,kg,,,
french-flatware,,,,,,,,White & Silver,,8 Pcs (Serves 2 Persons) - Save $25 USD,,,38113257-china-whitesilver2sets,0.0,shopify,deny,oberlo,49.00,74.00,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-39.jpg?v=1617304400,kg,,,
